instrument,pip_position
XNGUSD,3
XAGEUR,2
XAGUSD,2
XAUEUR,2
XAUUSD,2
XPDUSD,2
XPTUSD,2
XAUAUD,2
EURUSD,4
AUDUSD,4
GBPUSD,4
USDCAD,4
USDCHF,4
USDJPY,2
AUDCAD,4
AUDCHF,4
AUDDKK,4
AUDJPY,2
AUDNZD,4
CADJPY,2
CADCHF,4
AUDSGD,4
CHFJPY,2
CHFSGD,4
EURAUD,4
EURCAD,4
EURCHF,4
EURCZK,3
EURDKK,4
EURHKD,4
EURHUF,2
EURGBP,4
EURJPY,2
EURMXN,4
EURNOK,4
EURNZD,4
EURPLN,4
EURRUB,3
EURSEK,4
EURSGD,4
EURTRY,4
EURZAR,4
GBPAUD,4
GBPCAD,4
GBPCHF,4
GBPJPY,2
GBPNOK,4
GBPNZD,4
GBPSGD,4
GBPZAR,4
AUS200AUD,1
STOXX50,1
F40EUR,1
DE30EUR,1
HK50HKD,1
IT40,1
JP225JPY,1
AEX,1
WIG20,1
ES35,1
SMI,1
UK100GBP,1
US2000USD,1
US500USD,1
USTECUSD,1
US30USD,1
GBPDKK,4
GBPSEK,4
NOKJPY,2
NOKSEK,4
NZDCAD,4
NZDCHF,4
NZDJPY,2
NZDSGD,4
NZDUSD,4
SEKJPY,2
SGDJPY,2
USDCNH,4
USDCZK,3
USDDKK,4
USDHKD,4
USDHUF,2
USDMXN,4
USDNOK,4
USDPLN,4
USDRUB,3
USDSEK,4
USDSGD,4
USDTHB,2
USDTRY,4
USDZAR,4
BRENT,2
WTI,2
XBRUSD,2
XTIUSD,2
EURUSDt,4
DE30t,1
CHINA50,1
BTCUSD,2
DSHUSD,2
BCHUSD,2
ETHUSD,2
LTCUSD,2
GBPTRY,4
CA60,1
TecDE30,1
MidDE60,1
NETH25,1
SWI20,1
SG30,1
CHINAH,1
NOR25,1
SA40,1
SE30,1
USCrude100,2
UKBrent100,2
MidDE50,1
DE40,1
